"Niveau 1
(Formulaire)";"Niveau 2
(Groupe)";"Niveau 3
(sous-groupe)";"Niveau 4
(sous-sous-groupe)";Nouveau Code;Ancien Code;Code Donnée Indicateurs Européens (DXX);Libellé de la donnée (FR);Libellé de la donnée (EN);Texte explicatif de la donnée (FR);Texte explicatif de la donnée (EN);Consigne de saisie MESRI existante;Donnée de l'année N-1 proposée par défaut O/N;Donnée à saisir ou calculée;Formule de calcul;Type de saisie;report N >> N+1;Variable 2013;Variable 2014;Variable 2015;Variable 2016;Variable 2017;Variable 2018;Variable 2019;Format de la donnée (texte, nombre, monétaire €, binaire);Unité de mesure de la donnée si format nombre ;Période ou date de la mesure (année civile, au 31/12);Valeur Min;Valeur Max => ;Alerte BL/NBL sur valeur max;Texte de l'alerte;Evolution Min (alerte NBL);Evolution Max (alerte NBL);Granularité;Remarque
;;;;SdUAI;nouveau;;Code UAI SD; LS UAI code;Code UAI de la structure documentaire;Library service UAI code;Le code UAI est un champ pré-rempli dans l’application.;O;Saisie;;Libre;;;;;;;;;Texte;;;;;;;;;SD;
;;;;SdILN;nouveau;;ILN;ILN;ILN - Internal library number;Internal library number (ILN);Le code ILN est à renseigner pour la structure documentaire.;O;Saisie;;Libre;;;;;;;;;Texte;;;;;;;;;SD;
;;;;SdRCR;nouveau;;numéro(s) RCR;RCR number(s);numéro(s) du RCR (répertoire des centres de ressources) non attribué(s) à une bibliothèque physique;RCR (Resource Centre Directory) number(s) not assigned to a physical library;Si la structure documentaire possède un code RCR non rattaché à une bibliothèque, il est à renseigner ici. S’il y a plusieurs RCR dans ce cas, ils sont à séparer par un point-virgule.;O;Saisie;;Libre;;;;;;;;;Texte;;;;;;;;;SD;Si plusieurs RCR, saisie à la suite séparés par des points-virgule. Wikipédia : L'identifiant RCR se compose de 9 chiffres (les 2 premiers chiffres correspondent au numéro du département, les 3 suivants au code Insee de la commune, les 2 suivants au type de bibliothèque, et les 2 derniers au numéro séquentiel)
Utilisateurs;;;;;;;;Users;;;;;Titre N1;;;;;;;;;;;Intitulé;;;;;;;;;;
;;;;UserRole;nouveau;;Role(s) de l'utilisateur;User Role;;;Les rôles sont : 1 - responsable de structure documentaire pour la direction du service, 2 - responsable de l'enquête si ce rôle est distinct de la responsabilité de la structure, 3 - responsable de saisie si ce rôle est délégué pour une partie de l'enquête. Ces rôles ont des droits différents dans l'application. ;O;Saisie;;;;;;;;;;;;;;;;;;;;;
;;;;UserPrenom;nouveau;;Prénom de l'utilisateur;User Forename;;;;O;Saisie;;;;;;;;;;;;;;;;;;;;;
;;;;UserNom;nouveau;;Nom de l'utilisateur;User Name;;;;O;Saisie;;;;;;;;;;;;;;;;;;;;;
;;;;UserTel;nouveau;;Téléphone de l'utilisateur;User phone no.;;;Téléphone professionnel;O;Saisie;;;;;;;;;;;;;;;;;;;;;
;;;;UserMel;nouveau;;Mèl de l'utilisateur;User email;;;Mél professionnel;O;Saisie;;;;;;;;;;;;;;;;;;;;;
Moyens;;;;;;;;Resources;;;"Cas particulier des regroupements d’établissements - Pour les dépenses qui font l’objet d’une mutualisation au sein d’un regroupement d’établissements, trois méthodes sont détaillées ci-dessous. L’important est que le total des dépenses des établissements du regroupement corresponde au montant total effectivement réglé. 1- Indiquer un prorata : cette méthode est pertinente si les dépenses font l’objet d’une répartition entre les établissements (quelle que soit la clef de répartition). N’indiquer la dépense qu’à hauteur de ce prorata : si l’établissement ne participe pas au financement, indiquer 0. 2 - N’indiquer la dépense que pour un établissement : lorsque la dépense ne peut être aisément répartie entre les membres du regroupement, seul l’établissement porteur de l’action à titre principal mentionne la dépense (porteur du marché, signataire de la facture, etc…). 3 - Le regroupement répond à l’ESGBU. Dans ce cas, veiller à ce que les montants indiqués par lui soient déduits des montants renseignés par les établissements qui lui sont rattachés. Ne pas intégrer dans les recettes les montants prélevés sur la dotation attribuée à l'établissement correspondant à sa participation financière à la licence nationale « Elsevier » ; de même, ne pas inclure les dépenses correspondantes qui ne sont plus assurées, d'un point de vue comptable, par l'établissement. Ces montants seront réintégrés dans les données nationales au moment de leur publication. En revanche, prendre en compte dans le calcul de DepDepDoc le montant payé à l'ABES sur le budget de l’établissement au titre du groupement de commande (et qui a permis la déduction de TVA).";;Titre N1;;Non;;;;;;;;;Intitulé;;;;;;;;;SD;
;;;;MoyUnite;Budg1;;Montants HT, TTC, HTR;Amounts +/- tax or HTR;Indiquez si les montants sont notés HT, TTC ou HTR;Indicate whether the amounts entered are exclusive of tax, inclusive of tax or HTR.;Indiquer si les montants sont notés HT, TTC ou HTR : faire ce choix définitivement pour toutes les dépenses, y compris le groupe 4. Le plus souvent, les organismes de recherche indiqueront leurs dépenses hors taxes (HT), les universités et grandes écoles toutes taxes comprises (TTC). Il convient de signaler que lorsque la TVA est déduite en totalité, le montant TTC = le montant HT.;N;Saisie;;Liste non modifiable  choix unique;N;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;Texte;;année civile;;;;;;;SD;valeur par défaut à NULL ? - pourait être remplacée par boutons radio
;ressources humaines;;;;;;;Human resources;;;;;Titre N2;;Non;;;;;;;;;Intitulé;;;;;;;;;SD;
;;;;MoyETPT;Budg2;;ETPT consommés;Full time equiv. worked;Nombre d'ETPT consommés;Number of full time equivalents worked;Nombre d’ETPT consommés : Contrairement à l’ETP, qui ne prend en considération que la quotité de travail d’un agent à un instant donné, l’ETPT prend en considération la quotité de travail de l’agent ainsi que sa durée d’activité au cours de l’année. Ainsi un agent à temps plein employé sur six mois sera comptabilité pour 0,5 ETPT, de même pour un agent à mi-temps présent sur l’année entière. La consommation d’emplois s’apprécie de manière annuelle sur l’ensemble des implantations documentaires comprises dans la synthèse générale : il s’agit du nombre total d’heures travaillées (y compris les congés payés) divisé par la moyenne du nombre d’heures travaillées dans un emploi à temps plein (1607h). Le nombre d’ETPT est le résultat de cette division. Les emplois de contractuels (notamment emplois étudiants) sont compris dans le calcul. Dès lors qu'elles sont rémunérées, toutes les situations de congés (congés longue maladie, congés parentaux, congés formation...) ou d'absence doivent être comptabilisées dans le calcul des ETPT. À l'inverse, les agents en situation de congés non rémunérés (type congé de solidarité familiale) ne doivent pas être comptabilisés. Cette règle connaît une seule exception : les agents en congé de longue durée ne doivent pas être comptabilisés dans le calcul des ETPT, alors même qu'ils sont rémunérés. Cette règle s'applique indépendamment du statut et de la filière des agents concernés.;N;Saisie;;libre;N;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;dec2;ETPT;année civile;0;1 000;N-Bl;;-20%;20%;SD;
;recettes;;;;;;;Revenue;;;On déduira du calcul des recettes l’ensemble des crédits venant accroitre la masse salariale.;;Titre N2;;Non;;;;;;;;;Intitulé;;;;;;;;;SD;
;;;;RecDroitsbib;Budg3;;Droits bibliothèque;Library fees;Droits de bibliothèque perçus;Library fees collected;Droits de bibliothèque perçus : Montant reversé au titre des droits de bibliothèques perçus lors des frais d’inscription.;N;Saisie;;libre;N;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;dec2;€;année civile;0;5 000 000;N-Bl;;-40%;40%;SD;
;;;;RecTutelle;Budg4;;Dotations établissement;Inst. budget allocat°s ;Dotations attribuées par l'établissement sur les moyens du ministère de tutelle;Budgets allocated by the institution out of the resources of the supervisory ministry;Dotations attribuées par l’établissement sur les moyens du ministère de tutelle. Soit (pour les services documentaires d’université) : part de la dotation globale annuelle et de la part performance attribuée à l’établissement et reversée à la structure documentaire. Les moyens attribués via les regroupements d’établissements sont compris, sauf lorsqu’ils sont comptabilisés dans un groupe ESGBU rempli à part par le regroupement. Soit (pour les établissements) : montant annuel de la dotation globale annuelle, et éventuellement de la part performance si applicable. Les moyens attribués via les regroupements d’établissements sont compris, sauf lorsqu’ils sont comptabilisés dans un groupe ESGBU rempli à part par le regroupement.;N;Saisie;;libre;N;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;dec2;€;année civile;0;10 000 000;N-Bl;;-40%;40%;SD;
;;;;RecCollTerr;Budg5;;Subventions Coll. Terr;Fund from local auth.;Subventions des collectivités territoriales;Funding from local and regional authorities;Subventions des collectivités territoriales : montant pour l’année des subventions et autres participations financières accordées à titre régulier ou exceptionnel par une ou plusieurs collectivités territoriales.;N;Saisie;;libre;N;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;dec2;€;année civile;0;2 000 000;N-Bl;;-40%;40%;SD;
;;;;RecAutMin;Budg6;;Dotations autres ministères;Other Ministry funding ;Dotations en provenance d'autres ministères;Funding from other governement departments;Dotations en provenance d’autres ministères : montant pour l’année des dotations, et tout type de financement sur crédits de l’État (hors ministère de l’enseignement supérieur et de la recherche).;N;Saisie;;libre;N;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;dec2;€;année civile;0;2 000 000;N-Bl;;-40%;40%;SD;
;;;;RecRessProp;Budg7;;Ressources propres;Own resources;Ressources propres;Own resources;Ressources propres : recettes provenant d’activités de prestation de service. Par exemple : PEB, amendes pour retard, droits d’inscription des usagers extérieurs. Sont compris le cas échéant les recettes provenant d’une convention avec le MESRI ou à la suite d’appels à projet, ou bien de financements privés (ex : mécénat). Les dotations issues des regroupements d’établissements sont exclues (à inclure dans RecTutelle).;N;Saisie;;libre;N;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;dec2;€;année civile;0;5 000 000;N-Bl;;-40%;40%;SD;
