"Niveau 1
(Formulaire)";"Niveau 2
(Groupe)";"Niveau 3
(sous-groupe)";"Niveau 4
(sous-sous-groupe)";Nouveau Code;Ancien Code;Code Donnée Indicateurs Européens (DXX);Libellé de la donnée (FR);Libellé de la donnée (EN);Texte explicatif de la donnée (FR);Texte explicatif de la donnée (EN);Consigne de saisie MESRI existante;Donnée de l'année N-1 proposée par défaut O/N;Donnée à saisir ou calculée;Formule de calcul;Type de saisie;report N >> N+1;Variable 2013;Variable 2014;Variable 2015;Variable 2016;Variable 2017;Variable 2018;Variable 2019;Format de la donnée (texte, nombre, monétaire €, binaire);Unité de mesure de la donnée si format nombre ;Période ou date de la mesure (année civile, au 31/12);Valeur Min;Valeur Max => ;Alerte BL/NBL sur valeur max;Texte de l'alerte;Evolution Min (alerte NBL);Evolution Max (alerte NBL);Granularité;Remarque
Collections (flux);;;;;;;;Collections (flows);;;Non;;Titre N1;;Non;;;;;;;;;Intitulé;;;;;;;;;SD;
;Documentation sur support;;;;;;;Printed documents;;;Non;;Titre N2;;Non;;;;;;;;;Intitulé;;;;;;;;;SD;
;;Entrées de documents;;;;;;Document entries;;;Oui;;Titre N3;;Non;;;;;;;;;Intitulé colonne;;;;;;;;;SD;
;;;Titres;;;;;Titles;;;Oui supra;;Titre N4;;Non;;;;;;;;;Intitulé colonne;;;;;;;;;SD;
;;;;EntTitLivFr;Flux1;;Livres français - Entrées de documents - Titres;French books - Document entries  - Titles;;;Oui supra;N;Saisie;;libre;;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;entier;Titres;année civile;0;100 000;N-Bl;;-40%;40%;SD;
;;;;EntTitlivEt;Flux5;;Livres étrangers - Entrées de documents - Titres;Foreign books - Document entries - Titles;;;Oui supra;N;Saisie;;libre;;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;entier;Titres;année civile;0;100 000;N-Bl;;-40%;40%;SD;
;;;;EntTitLivTot;nouveau;;s/total entrées livres titres;s/total book title entries ;;;SO;;Calculée;EntTitLivFr + EntTitlivEt;Non;;;;;;;;;entier;Titres;année civile;;;;;;;SD;
;;;;EntTitPer;Flux11;;Périodiques - Entrées de documents - Titres;Periodicals - Document entries  - Titles;;;Oui supra;N;Saisie;;libre;;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;entier;Titres;année civile;0;100 000;N-Bl;;-40%;40%;SD;
;;;;EntTitAut;Flux13;;Autres - Entrées de documents - Titres;Other - Document entries  - Titles;;;Oui supra;N;Saisie;;libre;;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;entier;Titres;année civile;0;100 000;N-Bl;;-40%;40%;SD;
;;;;EntTitTot;nouveau;;Total entrées titres;Total title entries;;;SO;;Calculée;EntTitLivFr + EntTitlivEt + EntTitPer + EntTitAut;Non;;;;;;;;;entier;Titres;année civile;;;;;;;SD;
;;;Volumes ou UM;;;;;Book/material units;;;Oui supra;;Titre N4;;Non;;;;;;;;;Intitulé colonne;;;;;;;;;SD;
;;;;EntVolLivFr;Flux2;;Livres français - Entrées de documents - Volumes ou UM;French books - Document entries - Book/material units;;;Oui supra;N;Saisie;;libre;;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;entier;Unités Mat;année civile;0;100 000;N-Bl;;-40%;40%;SD;
;;;;EntVolLivEt;Flux6;;Livres étrangers - Entrées de documents - Volumes ou UM;Foreign books - Document entries - Book/material units;;;Oui supra;N;Saisie;;libre;;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;entier;Unités Mat;année civile;0;100 000;N-Bl;;-40%;40%;SD;
;;;;EntVolLivTot;nouveau;;s/total entrées livres Volumes ou unités matérielles;s/total book entries - Book/material units;;;SO;;Calculée;EntVolLivFr + EntVolLivEt;Non;;;;;;;;;entier;Unités Mat;année civile;;;;;;;SD;
;;;;EntVolAut;Flux14;;Autres - Entrées de documents - Volumes ou UM;Others - Document entries - Book/material units;;;Oui supra;N;Saisie;;libre;;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;entier;Unités Mat;année civile;0;100 000;N-Bl;;-40%;40%;SD;
;;;;EntVolTot;nouveau;;Total entrées Volumes ou unités matérielles;Total entries - Book/material units;;;SO;;Calculée;EntVolLivFr + EntVolLivEt + EntVolAut;Non;;;;;;;;;entier;Unités Mat;année civile;;;;;;;SD;
;;Acquisitions non onéreuses;;;;;;Free-of-charge acquisitions;;;Oui;;Titre N3;;Non;;;;;;;;;Intitulé colonne;;;;;;;;;SD;
;;;Titres;;;;;Titles;;;Oui supra;;Titre N4;;Non;;;;;;;;;Intitulé colonne;;;;;;;;;SD;
;;;;DonTitLivFr;Flux3;;Livres français - Acquisition non onéreuses - Titres;French books - Free-of-charge acquisitions - Titles;;;Oui supra;N;Saisie;;libre;;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;entier;Titres;année civile;0;100 000;N-Bl;;;;SD;
;;;;DonTitLivEt;Flux7;;Livres étrangers - Acquisition non onéreuses - Titres;Foreign books - Free-of-charge acquisitions - Titles;;;Oui supra;N;Saisie;;libre;;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;entier;Titres;année civile;0;100 000;N-Bl;;;;SD;
;;;;DonTitLivTot;nouveau;;s/total acquisitions non onéreuses livres titres;s/total Free-of-charge book acquisitions titles;;;SO;;Calculée;DonTitLivFr + DonTitLivEt;Non;;;;;;;;;entier;Titres;année civile;;;;;;;SD;
;;;;DonTitPer;Flux30;;Périodiques - Acquisition non onéreuses - Titres;Periodicals - Free-of-charge acquisitions - Titles;;;Oui supra;N;Saisie;;libre;;FAUX;FAUX;VRAI;VRAI;VRAI;VRAI;VRAI;entier;Titres;année civile;0;100 000;N-Bl;;;;SD;
;;;;DonTitAut;Flux15;;Autres - Acquisition non onéreuses - Titres;Others - Free-of-charge acquisitions - Titles;;;Oui supra;N;Saisie;;libre;;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;entier;Titres;année civile;0;100 000;N-Bl;;;;SD;
;;;;DonTitTot;nouveau;;s/total acquisitions non onéreuses titres;s/total Free-of-charge acquisitions titles;;;SO;;Calculée;DonTitLivFr + DonTitLivEt + DonTitPer + DonTitAut;Non;;;;;;;;;entier;Titres;année civile;;;;;;;SD;
;;;Volumes ou UM;;;;;Book/material units;;;Oui supra;;Titre N4;;Non;;;;;;;;;Intitulé colonne;;;;;;;;;SD;
;;;;DonVolLivFr;Flux4;;Livres français - Acquisition non onéreuses - Volumes ou UM;French books - Free-of-charge acquisitions - Book/material units;;;Oui supra;N;Saisie;;libre;;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;entier;Unités Mat;année civile;0;100 000;N-Bl;;;;SD;
;;;;DonVolLivEt;Flux8;;Livres étrangers - Acquisition non onéreuses - Volumes ou UM;Foreign books - Free-of-charge acquisitions - Book/material units;;;Oui supra;N;Saisie;;libre;;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;entier;Unités Mat;année civile;0;100 000;N-Bl;;;;SD;
;;;;DonVolLivTot;nouveau;;s/total acquisitions non onéreuses livres volumes ou UM;s/total Free-of-charge book acquisitions - Book/material units;;;SO;;Calculée;DonVolLivFr + DonVolLivEt;Non;;;;;;;;;entier;Unités Mat;année civile;;;;;;;SD;
;;;;DonVolAut;Flux16;;Autres - Acquisition non onéreuses - Volumes ou UM;Other - Free-of-charge acquisitions - Book/material units;;;Oui supra;N;Saisie;;libre;;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;entier;Unités Mat;année civile;0;100 000;N-Bl;;;;SD;
;;;;DonVolTot;nouveau;;s/total acquisitions non onéreuses volumes ou UM;s/total Free-of-charge acquisitions- Books/MUs;;;SO;;Calculée;DonVolLivFr + DonVolLivEt + DonVolAut;Non;;;;;;;;;entier;Unités Mat;année civile;;;;;;;SD;
;;Sorties de documents;;;;;;Deselected documents;;;Oui;;Titre N3;;Non;;;;;;;;;Intitulé colonne;;;;;;;;;SD;
;;;Titres;;;;;Titles;;;Oui supra;;Titre N4;;Non;;;;;;;;;Intitulé colonne;;;;;;;;;SD;
;;;;SorTitLivTot;Flux9;;Total livres français et étrangers - Sorties de documents - Titres;Total French and foreign books - deselected documents  - Titles;;;Oui supra;N;Saisie;;libre;;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;entier;Titres;année civile;0;100 000;N-Bl;;-40%;40%;SD;
;;;;SorTitPer;Flux12;;Périodiques - Sorties de documents - Titres;Periodicals - deselected documents - Titles;;;Oui supra;N;Saisie;;libre;;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;entier;Titres;année civile;0;100 000;N-Bl;;-40%;40%;SD;
;;;;SorTitAut;Flux17;;Autres - Sorties de documents - Titres;Others - deselected documents  - Titles;;;Oui supra;N;Saisie;;libre;;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;entier;Titres;année civile;0;100 000;N-Bl;;-40%;40%;SD;
;;;;SorTitTot;nouveau;;Total sorties titres;Total titles deselected;;;SO;;Calculée;SorTitLivTot + SorTitPer + SorTitAut;Non;;;;;;;;;entier;Titres;année civile;;;;;;;SD;
;;;Volumes ou UM;;;;;Book/material units;;;Oui supra;;Titre N4;;Non;;;;;;;;;Intitulé colonne;;;;;;;;;SD;
;;;;SorVolLiv;Flux10;;Total livres français et étrangers - Sorties de documents - Volumes ou UM;Total French and foreign books - deselected documents - Book/material units;;;Oui supra;N;Saisie;;libre;;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;entier;Unités Mat;année civile;0;100 000;N-Bl;;-40%;40%;SD;
;;;;SorVolAut;Flux18;;Autres - Sorties de documents - Volumes ou UM;Others - deselected documents - Book/material units;;;Oui supra;N;Saisie;;libre;;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;entier;Unités Mat;année civile;0;100 000;N-Bl;;-40%;40%;SD;
;;;;SorVolTot;nouveau;;Total sorties volumes ou UM;Total Book/material units deselected;;;SO;;Calculée;SorVolLiv + SorVolAut;Non;;;;;;;;;entier;Titres;année civile;;;;;;;SD;
;Documentation numérique gérée par l'établissement;;;;;;;Digital documents managed by institution;;;Oui;;Titre N2;;Non;;;;;;;;;Intitulé;;;;;;;;;SD;
;;Documentation numérique produite au sein de l’établissement;;;;;;Digital documents produced by institution;;;Non;;Titre N3;;Non;;;;;;;;;Intitulé;;;;;;;;;SD;
;;;Entrées de documents / Unité documentaires;;;;;Book/material unit entries;;;Non;;Titre N4;;Non;;;;;;;;;Intitulé colonne;;;;;;;;;SD;
;;;;EntNumerise;Flux19;;Documents numérisés (livres, revues, thèses, autres) - Entrées de documents - Nombre d'unités documentaires;Digitized documents (books, journals, theses, others) - Document entries - Number of doc. units ;;;Oui supra;N;Saisie;;libre;;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;entier;Unités Doc;année civile;0;100 000;N-Bl;;-40%;40%;SD;
;;;;EntTheseNum;Flux21;;Thèses, HDR, mémoires et travaux universitaires (nativement numériques) - Entrées de documents - Nombre d'unités documentaires;Theses, HDR, dissertations and university research (naturally numerical) - Document entries - Number of doc. units ;;;Oui supra;N;Saisie;;libre;;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;entier;Unités Doc;année civile;0;100 000;N-Bl;;-40%;40%;SD;
;;;;EntPedago;Flux23;;Documents pédagogiques - Entrées de documents - Nombre d'unités documentaires;Teaching documents - Document entries - Number of doc. units ;;;Oui supra;N;Saisie;;libre;;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;entier;Unités Doc;année civile;0;100 000;N-Bl;;-40%;40%;SD;
;;;;EntProdTot;nouveau;;s/total documentation numérique produite Unités matérielles;s/total digitized doc. produced MU;;;SO;;Calculée;EntNumerise + EntTheseNum + EntPedago;Non;;;;;;;;;entier;Unités Doc;année civile;;;;;;;SD;
;;;Entrées de documents / Giga Octets;;;;;Document entries in Gigabytes;;;Non;;Titre N4;;Non;;;;;;;;;Intitulé colonne;;;;;;;;;SD;
;;;;EntNumeriseGo;Flux20;;Documents numérisés (livres, revues, thèses, autres) - Entrées de documents - Giga octets;Digitized documents (books, journals, theses, other) - Document entries- in Gigabytes;;;Oui supra;N;Saisie;;libre;;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;FAUX;dec2;Go;année civile;;;;;;;SD;
;;;;EntTheseNumGo;Flux22;;Thèses, HDR, mémoires et travaux universitaires (nativement numériques) - Entrées de documents - Giga octets;Theses, HDR, dissertations and university research (naturally numerical) - Document entries- in Gigabytes;;;Oui supra;N;Saisie;;libre;;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;FAUX;dec2;Go;année civile;;;;;;;SD;
;;;;EntPedagoGo;Flux24;;Documents pédagogiques - Entrées de documents - Giga octets;Teaching documents - Document entries- in Gigabytes;;;Oui supra;N;Saisie;;libre;;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;FAUX;dec2;Go;année civile;;;;;;;SD;
;;;;EntProdTotGo;nouveau;;;;;;SO;;Calculée;EntNumeriseGo + EntTheseNumGo + EntPedagoGo;Non;;;;;;;;;;;;;;;;;;SD;
;;Documentation numérique acquise définitivement par l’établissement;;;;;;Digital documents permanently acquired by institution;;;Oui groupée;;Titre N3;;Non;;;;;;;;;Intitulé;;;;;;;;;SD;
;;;Entrées de documents / Titres;;;;;Document entries/Titles;;;Oui supra;;Titre N4;;Non;;;;;;;;;Intitulé colonne;;;;;;;;;SD;
;;;;EntNumAcq;Flux25;;Documentation acquise (stockage par l'établissement) - Entrées de documents - Titres;Material acquired (stored by the establishment) - Document entries - Titles;;;Oui groupée;N;Saisie;;libre;;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;entier;Titres;année civile;0;100 000;N-Bl;;-40%;40%;SD;
;;;Entrées de documents / Giga Octets;;;;;Document entries/Gigabytes;;;Oui supra;;Titre N4;;Non;;;;;;;;;Intitulé colonne;;;;;;;;;SD;
;;;;EntNumAcqGo;Flux26;;Documentation acquise (stockage par l'établissement) - Entrées de documents - Giga octets;Material acquired (stored by the establishment) - Document entries- in Gigabytes;;;Oui groupée;N;Saisie;;libre;;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;FAUX;dec2;Go;année civile;;;;;;;SD;
;;;;NumGereeTot;nouveau;;Total Documentation numérique gérée par l’établissement / Titres ou Nb d’unités documentaires;Total Digitized Material managed by the establishment / Titles or No doc. units ;;;SO;;Calculée;EntNumerise + EntTheseNum + EntPedago + EntNumAcq;Non;;;;;;;;;entier;;année civile;;;;;;;SD;
;;;;NumGereeTotGo;nouveau;;Total Documentation numérique gérée par l’établissement / Go;Total Digitized Material managed by the establishment / GB;;;SO;;Calculée;EntNumeriseGo + EntTheseNumGo + EntPedagoGo + EntNumAcqGo;Non;;;;;;;;;;;;;;;;;;SD;
;Documentation numérique mise à disposition des usagers;;;;;;;Digital documentation available to users;;;Oui;;Titre N2;;Non;;;;;;;;;Intitulé;;;;;;;;;SD;
;;Services ressources;;;;;;Services/resources;;;Non;;Titre N3;;Non;;;;;;;;;Intitulé;;;;;;;;;SD;
;;;;NbNumSouscrite;Flux27;;Services/ressources : nombre de souscriptions en cours au 31.12;Services/resources: number of active subscriptions 31.12;;;Oui;N;Saisie;;libre;;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;entier;;31-12;0;;;;;;SD;
;;Titres signalés dans une liste alphabétique du système d’information ou du catalogue;;;;;;Titles indexed in the alphabetical listing of information system or catalogue;;;Oui;;Titre N3;;Non;;;;;;;;;Intitulé;;;;;;;;;SD;
;;;;NumSignalePer;Flux28;;Périodiques électroniques;Periodicals;;;Oui;N;Saisie;;libre;;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;entier;Titres;31-12;0;5 000 000;N-Bl;;-40%;40%;SD;
;;;;NumSignaleLiv;Flux29;;Livres électroniques;e-books;;;Oui;N;Saisie;;libre;;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;entier;Titres;31-12;0;5 000 000;N-Bl;;-40%;40%;SD;
;;;;NumSignaleTot;nouveau;;Total titres signalés …;Total titles notified …;;;SO;;Calculée;NumSignalePer + NumSignaleLiv;Non;;;;;;;;;entier;Titres;31-12;;;;;;;SD;
Publics;;;;;;;;Visitors;;;Oui;;Titre N1;;Non;;;;;;;;;Intitulé;;;;;;;;;SD;
;Fréquentation;;;;;;;Visits;;;Non;;Titre N2;;Non;;;;;;;;;Intitulé;;;;;;;;;SD;
;;;;NbEntrees;Pub2;;Nombre d'entrées au cours de l'année civile;Number visits during calendar year ;;;Oui;N;Saisie;;libre;;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;entier;;année civile;0;10 000 000;N-Bl;;-25%;25%;SD;
;;Expositions visites et animations;;;;;;Exhibitions, guided tours & events;;;Non;;Titre N3;;Non;;;;;;;;;Intitulé;;;;;;;;;SD;
;;;;NbExpos;Us11;;Nombre d'expositions organisées;Number exhibitions organized;;;Oui;N;Saisie;;libre;;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;entier;;année civile;0;1 000;N-Bl;;;;SD;
;;;;NbAutManif;Us12;;Autres manifestations;Other events;;;Oui;N;Saisie;;libre;;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;entier;;année civile;0;1 000;N-Bl;;;;SD;
;Usagers (à renseigner par les universités et les établissements d'enseignement supérieurs uniquement);;;;;;;Users (to be identified by universities or university libraries only);;;Oui;;Titre N2;;Non;;;;;;;;;Intitulé;;;;;;;;;SD;
;;;Emprunteurs;;;;;Borrowers;;;Oui;;Titre N4;;Non;;;;;;;;;Intitulé colonne;;;;;;;;;SD;
;;;;EmprL;Pub3;;Usagers de l'établissement - Etudiants en licence - emprunteurs;Institution's users - Undergraduate students - borrowers;;;Oui groupée;N;Saisie;;libre;;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;entier;;année universitaire;0;100 000;N-Bl;;-20%;20%;SD;
;;;;EmprM;Pub5;;Usagers de l'établissement - Etudiants en master - emprunteurs;Institution's users - Masters' students - borrowers;;;Oui groupée;N;Saisie;;libre;;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;entier;;année universitaire;0;60 000;N-Bl;;-20%;20%;SD;
;;;;EmprD;Pub7;;Usagers de l'établissement - Etudiants en doctorat - emprunteurs;Institution's users - Doctoral students - borrowers;;;Oui groupée;N;Saisie;;libre;;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;entier;;année universitaire;0;10 000;N-Bl;;-20%;20%;SD;
;;;;EmprEC;Pub9;;Usagers de l'établissement - Chercheurs et enseignants-chercheurs - emprunteurs;Institution's users - Researchers and lecturers - borrowers;;;Oui groupée;N;Saisie;;libre;;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;entier;;année universitaire;0;10 000;N-Bl;;-20%;20%;SD;
;;;;EmpAut;Pub11;;Usagers de l'établissement - Autres usagers - emprunteurs;Institution's users - Other users - borrowers;;;Oui groupée;N;Saisie;;libre;;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;entier;;année universitaire;0;50 000;N-Bl;;-50%;50%;SD;
;;;;EmpTot;nouveau;;s/total usagers de l'établissements emprunteurs;s/total of Institution's Users - borrowers;;;SO;;Calculée;EmprL + EmprM + EmprD + EmprEC + EmpAut;Non;;;;;;;;;entier;;année universitaire;;;;;;;SD;
;;;;EmprExt;Pub13;;Usagers extérieurs - emprunteurs;External users - borrowers;;;Oui groupée;N;Saisie;;libre;;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;entier;;année universitaire;0;50 000;N-Bl;;-50%;50%;SD;
;;;Inscrits;;;;;Registered users;;;Oui;;Titre N4;;Non;;;;;;;;;Intitulé colonne;;;;;;;;;SD;
;;;;InscritL;Pub4;;Usagers de l'établissement - Etudiants en licence - inscrits;Institution's users - Undergraduate students - registered;;;Oui groupée;N;Saisie;;libre;;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;entier;;31-12;0;100 000;N-Bl;;-20%;20%;SD;
;;;;InscritM;Pub6;;Usagers de l'établissement - Etudiants en master - inscrits;Institution's users - Masters' students - registered;;;Oui groupée;N;Saisie;;libre;;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;entier;;31-12;0;60 000;N-Bl;;-20%;20%;SD;
;;;;InscrritD;Pub8;;Usagers de l'établissement - Etudiants en doctorat - inscrits;Institution's users - Doctoral students - registered;;;Oui groupée;N;Saisie;;libre;;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;entier;;31-12;0;10 000;N-Bl;;-20%;20%;SD;
;;;;InscritEC;Pub10;;Usagers de l'établissement - Chercheurs et enseignants-chercheurs - inscrits;Institution's users - Researchers and lecturers - registered;;;Oui groupée;N;Saisie;;libre;;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;entier;;31-12;0;10 000;N-Bl;;-20%;20%;SD;
;;;;InscritAut;Pub12;;Usagers de l'établissement - Autres usagers - inscrits;Institution's users - Other users - registered;;;Oui groupée;N;Saisie;;libre;;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;entier;;31-12;0;50 000;N-Bl;;-50%;50%;SD;
;;;;InscritTot;nouveau;;s/total usagers de l'établissements inscrits;s/total registered Institution's users;;;SO;;Calculée;InscritL + InscritM + InscrritD + InscritEC + InscritAut;Non;;;;;;;;;entier;;31-12;;;;;;;SD;
;;;;InscritExt;Pub14;;Usagers extérieurs - inscrits;External users - registered;;;Oui groupée;N;Saisie;;libre;;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;entier;;31-12;0;50 000;N-Bl;;-50%;50%;SD;
;Usagers (à renseigner par les organismes uniquement);;;;;;;Users (to be identified by research organisations only);;;Non;;Titre N2;;Non;;;;;;;;;Intitulé;;;;;;;;;SD;
;;Inscrits;;;;;;Registered users;;;Non;;Titre N3;;Non;;;;;;;;;Intitulé;;;;;;;;;SD;
;;;;OrgInscritD;Pub15;;Usagers de l'établissement inscrits en bibliothèque - Étudiants (doctorants);Institution's users registered in library - Students (doctoral);;;Non;N;Saisie;;libre;;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;entier;;31-12;0;10 000;N-Bl;;-20%;20%;SD;
;;;;OrgInscritC;Pub16;;Usagers de l'établissement inscrits en bibliothèque - Chercheurs - Inscrits;Institution's users registered in library - Researchers - registered ;;;Non;N;Saisie;;libre;;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;entier;;31-12;0;10 000;N-Bl;;-20%;20%;SD;
;;;;OrgInscritIR;Pub17;;Usagers de l'établissement inscrits en bibliothèque - Ingénieurs de recherche - Inscrits;Institution's users registered in library - research engineers  - registered;;;Non;N;Saisie;;libre;;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;entier;;31-12;0;10 000;N-Bl;;-20%;20%;SD;
;;;;OrgInscritAut;Pub18;;Usagers de l'établissement inscrits en bibliothèque - Autres personnels de l'organisme - Inscrits;Institution's users registered in library - Other personnel of the organization - registered;;;Non;N;Saisie;;libre;;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;entier;;31-12;0;10 000;N-Bl;;-50%;50%;SD;
;;;;OrgInscritTot;nouveau;;s/total usagers de l'organisme inscrits;s/total users of the organization registered;;;SO;;Calculée;OrgInscritD + OrgInscritC + OrgInscritIR + OrgInscritAut;Non;;;;;;;;;entier;;31-12;;;;;;;SD;
;;;;OrgInscritExtC;Pub19;;Chercheurs extérieurs à l'organisme - Inscrits;Researchers external to organization - registered;;;Non;N;Saisie;;libre;;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;entier;;31-12;0;10 000;N-Bl;;-50%;50%;SD;
;;;;OrgInscritExtAut;Pub20;;Autres usagers extérieurs - Inscrits;Other external users - registered;;;Non;N;Saisie;;libre;;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;entier;;31-12;0;50 000;N-Bl;;-50%;50%;SD;
Usages numériques;;;;;;;;Digital use;;;Non;;Titre N1;;Non;;;;;;;;;Intitulé;;;;;;;;;SD;
;Documentation numérique;;;;;;;Digital material;;;Oui;;Titre N2;;Non;;;;;;;;;Intitulé;;;;;;;;;SD;
;;Documentation numérique acquise;;;;;;Acquired digital material;;;Oui;;Titre N3;;Non;;;;;;;;;Intitulé;;;;;;;;;SD;
;;;;UsSessions;Us1;;Nombre d'accès/sessions ;Number of visits/sessions;;;Oui;N;Saisie;;libre;;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;entier;;année civile;0;25 000 000;N-Bl;;-40%;40%;SD;
;;;;UsRec;Us2;;Nombre de recherches;Number of retrievals;;;Oui;N;Saisie;;libre;;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;entier;;année civile;0;25 000 000;N-Bl;;-40%;40%;SD;
;;;;UsVuesTotOld;Us3;;Nombre d'unités vues ou téléchargées de la collection éditoriale - total;Number of viewed/downloaded units from publisher collection  - total;;;Oui;;Titre N4;;Non;;VRAI;VRAI;VRAI;FAUX;FAUX;FAUX;FAUX;entier;;;;;;;;;SD;A transformer en titre. Reporter le s/total en bas de tableau - Us3 : variable fermée en 2016 suite à modification de la présentation du questionnaire et la creation de Us27
;;;;UsVuesEbook;Us4;;Nombre d'unités vues ou téléchargées de livres électroniques;Number of e-book units viewed/downloaded ;Nombre d'unités vues ou téléchargées de la collection éditoriale - dont consultation de livres électroniques;Number of units viewed or downloaded from collection portion purchased from publishers - including consultation of electronic books;Oui;N;Saisie;;libre;;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;entier;;année civile;0;25 000 000;N-Bl;;-40%;40%;SD;
;;;;UsVuesArticles;Us5;;Nombre d'unités vues ou téléchargées d'articles de périodiques;Number of e-journal article units viewed/downloaded ;Nombre d'unités vues ou téléchargées de la collection éditoriale - dont consultation d'articles de périodiques;Number of units viewed or downloaded from collection portion purchased from publishers - including consultation of journal articles;Oui;N;Saisie;;libre;;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;entier;;année civile;0;25 000 000;N-Bl;;-40%;40%;SD;
;;;;UsVuesAut;Us27;;Nombre d'unités vues ou téléchargées d'autres documents électroniques;Number of other digital material units viewed/downloaded   ;Nombre d'unités vues ou téléchargées de la collection éditoriale - dont autres;Number of units viewed or downloaded from from collection portion purchased from publishers - including other material;Oui;N;Saisie;;libre;;FAUX;FAUX;FAUX;VRAI;VRAI;VRAI;VRAI;entier;;année civile;0;50 000 000;N-Bl;;-40%;40%;SD;
;;;;UsVuesTot;nouveau;;s/total nb d'unités vues ou téléchargées de la collection éditoriale;s/total nb of  viewed/downloaded units from publisher collection ;;;SO;;Calculée;UsVuesEbook + UsVuesArticles + UsVuesAut;Non;;;;;;;;;entier;;année civile;;;;;;;SD;présentée au dessus dans la questionnaire actuel >>> modifier la présentation ?
;;Documentation numérique produite;;;;;;Digitized materials;;;Non;;Titre N3;;Non;;;;;;;;;Intitulé;;;;;;;;;SD;
;;;;UsVueNumerise;Us6;;Nombre d'unités vues ou téléchargées de la collection numérisée;Number of viewed/downloaded units from digitized collection;;;Oui;N;Saisie;;libre;;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;entier;;année civile;0;25 000 000;N-Bl;;-40%;40%;SD;
;;;;UsVuePedago;Us7;;Nombre d'unités vues ou téléchargées pour la documentation pédagogique numérique;Number of digital teaching material units viewed/downloaded  ;;;Oui;N;Saisie;;libre;;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;entier;;année civile;0;25 000 000;N-Bl;;-40%;40%;SD;
